[General]
Name|Liz Katz
15|하지만 가장 좋은 부분은 코스프레예요.
16|네, 전부 제 트렁크에 있어요. 저는 제 마음대로 어떤 캐릭터든 만들고 연기할 수 있어요.
17|뭐라고요?
18|오, 고마워요. 이건 제 개인적인 모든 것을 담을 수 있는 가방이에요... 그리고 거의 휴대 가능하죠.
19|최소한 하나는 넣을 수 있을 거예요. 어떻게 아는지는 묻지 마세요.
20|말해드릴 수 있지만, 그러면 당신을 죽여야 할 거예요.
21|그리고 당신은 융통성이 없네요. 먼저 분위기를 좀 부드럽게 하세요.
22|오. 그냥 제 개인적인 모든 것을 담을 수 있는 가방이에요.
23|오... 의상, 무기, 장난감, 비키니, 수갑, 곰 인형, 응급 생존 용품... 재미있는 파티에 필요한 모든 것이 있어요. 물론, 관객은 빼고요.
24|아. 밖에 있는 자쿠지를 보고, 정말 물에 젖고 싶다고 생각했어요... 물속에요. 그러니 저와 함께 자쿠지에서 휴식을 취하러 가시겠어요?
25|네! 제 말은, 정말 당신이 그렇게 말해주기를 바랐어요. 오늘 밤 여기에 불려와서 당신을 만나게 되어 정말 기뻐요. 당신은 저를... 음, 당신과 함께 있으면 편안하고, 이 파티가 저에게 무엇을 제공할 수 있는지 더 탐색하고 싶다고 말해두죠. 그리고 어쩌면 당신에 대해서도 조금 더 알고 싶을지도 모르고요?
26|수영복 가져오셨죠, 그렇죠? 제가 열쇠를 드리면, 2층에 있는 트렁크에서 제 비키니를 가져다주시겠어요? 저는 자쿠지를 준비하러 갈게요.
26.1|수영복 가져오셨죠, 그렇죠? 제가 열쇠를 드리면, 2층에 있는 트렁크에서 제 비키니를 가져다주시겠어요? 저는 자쿠지를 준비하러 갈게요.
27|구려요? 당신이 구려요! 그리핀도르 10점 감점!
28|음... 아니요? 정확히 망치를 가져오지는 않았지만, 이 촉수가 있어요...
29|저예요, Katz 형사! 걸어 다니는 뛰어난 미스터리 수수께끼죠! 그리고... 살인이 일어난 것 같아요!
30|진지하게 말하면: 무슨 일이 일어났는지 모르겠어요. 침착함을 유지하고, 특히 냉정을 잃지 않도록 해야 해요.
31|여러분, 제 말을 들으세요: 이 광기에서 살아남을 수 있는 가장 좋은 방법은 협력하여 누가 살인자인지 알아내고 그의 미스터리한 살인 장난을 끝내는 거예요. 항상 이런 말을 해보고 싶었어요! 좋아요, 살인자는 우리 중 누구든 될 수 있어요. 심지어 저일 수도 있어요! 아니면 당신일 수도 있고요! 미스터리 수수께끼를 만드는 데 있어서 제 경험으로, 저는 이런 일을 처리하는 데 가장 경험이 많으니 수사를 지휘할 수 있어요. 하지만 당신의 도움이 필요해요.
32|죄송하지만, 이건 분명히 제 수수께끼 중 하나가 아니에요! 저는 Patrick이 누구인지조차 몰라요! 저는 당신들 중 누구도 알지 못해요! 저는 이 미스터리를 푸는 데 도움을 줄 수 있다는 것을 알아요. 그리고 우리는 서로를 믿을 수 없다면 살인자가 무사히 빠져나갈 것이라는 것도 알죠. 신뢰는 진실에서 시작돼요.
33|아니요, 저는 잘린 머리 모양의 소품을 가지고 다니지 않아요... 그리고 제가 전에 만난 적도 없는 남자의 머리는 더더욱 아니죠!
34|아니요! 무슨 말을 하는 거예요?
35|고마워요, 안심이 되네요. 누군가가 정말로 살해당한 것 같지만, 모든 사람이 그것을 진지하게 받아들이는 것 같지는 않아요. 모든 것을 풀기 위해 당신의 도움이 필요할 거예요. 어때요: 파트너?
35.1|신뢰의 투표에 감사드립니다... 파트너.
36|음, 이 모든 액션이 아드레날린을 솟구치게 하고 저를 흥분시키는 것은 인정하지만, 먼저 미스터리를 푸는 데 집중하도록 하죠... 파트너.
37|당신을 믿을 수 있을 줄 알았어요! 그리고 당신과 저 사이에 말하자면, 이 아드레날린이 저를 정말 흥분시켜요. 당신과 제가 함께 이 미스터리를 풀었을 때 얼마나 흥분될지 상상할 수 없어요. 으, 생각만 해도 흥분돼요.
38|음... 그 모든 아드레날린이 저를 흥분시켰지만, 그 느끼한 대사로 전부 사라졌어요. 앞으로 그런 일은 하지 마세요.
39|살인자가 당신을 공격했어요? 잘됐네요! ... 음, 잘된 건 아니지만, 살인자의 정체에 대한 첫 번째 단서가 될 수 있어요. 뭔가 봤어요?
40|마스크요? 오오오, 마스크는 정말 흥분돼요! 므음...
41|오, 음... 됐어요. 사실, 그건 관련 있는 단서예요, 파트너. 당신이 그의 얼굴을 볼 수 없었다는 것이 아쉽네요. 우리의 기술이 시험대에 오를 거예요. 그 살인자는 분명히 고도의 사이코패스일 거예요. 훌륭한 적수죠. 그리고 아마도 저의 숙적일 거예요!
42|음, 당신이 제 곁에 있으니 모든 것이 가능해요. 다른 단서를 찾을 수 있는지 봅시다, 여기, 범죄 현장에서.
43|저는 제 구석에서 파티를 즐기고 있었어요. 모든 소란과 비명을 들었을 때, 뭔가 일이 일어나고 있다는 것을 알았죠. 제가 옳았던 것 같고, 사실, 누군가가 실제로 살해당했다는 증거가 이제 있어요. 살인자는 명확한 경고를 남겼어요: 우리는 경찰에 갈 수 없어요. 그러니 우리는 살인자가 여전히: 지금 이 순간 집 안에 있거나, 어떤 식으로든 우리의 모든 행동을 관찰하고 있다고 추론해야만 해요.
44|정확해요. 훌륭한 관찰력이에요. 감명받았어요! 편리한 단서네요. 심지어 너무 명백할 수도 있어요. 그리고 얼어있어요. 잘린 머리를 어떻게 해동시키죠?
44.1|잘린 머리를 어떻게 해동시키죠?
45|그게 좋은 생각인지는 모르겠어요. 제 말은, 전통적인 오븐보다는 나을 것 같아요. 하지만 그게... 매혹적인 결과를 낳을 수도 있을 것 같아요. 그러니 해보고 결과를 봅시다.
46|불에 넣는다고요? 좀 하드코어하게 들리지만, 저는 항상 하드코어한 액션을 좋아해요. 너무 익히지 않도록 조심하세요. 그 단서가 필요해요.
47|얼어붙은 머리를 건조기에 넣는다고요? 그건... 사실, 나쁜 생각은 아니네요. 삶이 당신에게 얼어붙은 잘린 머리를 던져주면... 섬세한 코스로 건조기에 넣으세요. 이제, 우리가 해야 할 일을 알았네요!
48|그 머리 좀 줘봐요. 우리는 풀어야 할 미스터리와 건조기로 말려야 할 얼어붙은 머리가 있어요. 물론, 섬세한 코스로요.
49|드디어. 우리 둘만 있네요! 살인과 미스터리, 풀어야 할 수수께끼, 입어야 할 의상... 분위기가 무겁고 이상해지고 있어요. 긴장을 풀어야겠어요. 그리고 마침 지금 우리에게 단둘이 시간을 보낼 수 있는 1분이 있네요...
50|그 아이디어는 나중에 생각해두세요. 지금쯤 단서를 얻을 수 있을 거예요!
51|아야! 으... 휴스턴, 문제가 생겼어요. 갇혔어요. 도와줘요!
52|허리를 잡고 여기서 꺼낼 수 있는지 봐주세요.
53|갇혔어요. 이 사람이 여기서 꺼내주려고 노력하고 있어요. 제 팔은 안에 있지만 이 문을 움직일 수가 없어요. 갇혔어요. 저를 풀어줄 무언가가 필요해요.
54|엑스맨처럼요.
55|해냈어요! 단서를 찾았어요! 보세요.
56|이봐요, 이 변태 자식아. 그만해! 멋있지 않아. 다시 시작하면, 초사이어인-뮤츠-라파엘 모드로 변신해서 끝장내버릴 거야! 이제, 가서 이 문을 어떻게 여는지 알아내는 데 도움을 주는 게 어때. 갇혔어!
57|아, 여기 있었군요! 저는 잘 앉아서 파티를 즐길 준비가 되었어요. 오늘 밤에 아무도 살해당하지 않을 거라고 해서 즐거운 시간을 보낼 수 없는 건 아니잖아요, 그렇죠?
58|좋아요, 좋아요... 당신은 제 영웅이 될 수 있어요.
59|트렁크를 정리하는 데 1분만 필요하고, 당신을 만나러 갈게요.
59.1|가서... 이름이 뭐였죠? Patrick? 그가 제 짐을 위층으로 옮기는 것을 도와줄 수 있도록 데려오는 게 어때요.
60|오, 오. 무슨 뜻인지 알겠어요. 평소라면 신경 쓰지 않겠지만... 이 집의 환기 시스템을 사용하여 우리를 염탐하는 변태와 함께라면요? 그는 우리의 모든 움직임, 우리가 내딛는 모든 발걸음, 우리가 주장하는 모든 것을 보고 있어야 해요... 젠장, 됐어요. 그냥 그를 찾아서 중요한 부분을 걷어차주고 싶어요!
61|당신이 카메라를 들고 저를 부르면, 저는 당신의 하루를 밝혀줄 태양이 될 거예요!
62|당신은 변태적인 팝송에 대한 제 우려를 따르고 뛰어들기로 결정했나요? 정말 이상하네요.
63|훌륭한 질문이에요. 하지만 처음 코믹콘에 가는 것처럼, 우리는 아무것도 몰라요: 더 많은 영역을 탐험하고 더 많은 사람들과 이야기해야 해요. 살인자가 있었던 것으로 알고 있는 주요 방부터 시작해서 거기서부터 시작할게요.
64|전부 말해줘요!
65|훌륭한 작업이에요, 충실한 조수. 무슨 일인지 보러 가요!
66|음, 그럼 이 물건을 열어봐요! 당신의 근육을 보여줘요!
67|물론이죠! 길을 안내해주세요.
68|보세요! 환기구 안에 피 묻은 손자국이 있어요! 당신을 공격한 사람이 도망친 곳이 바로 저기예요. 살인자는 환기구를 사용하고 있어요. 우리는 아마 감시당하고 있을 거예요!
69|동의해요: 연쇄 살인범을 잡으려면 가끔 달걀을 깨야 해요. 그를 놓칠 수 없어요.
70|이봐요! 멋있지 않아요!
71|좋아요, 사탕, 아이스크림. 좋은 살인 미스터리가 디아블로의 혼돈의 성소보다 더 화끈하다고 생각하는 사람은 저뿐인 줄 알았는데... 이것 좀 보세요!
72|오 세상에! 정말 느끼하네요. 당신이 너무 사랑스러워서 다행이에요.
73|오 세상에! 당신은 Gemal Allessetomas가 아니고, 분명히 지금 이 사랑의 감정을 잃고 있어요.
74|절대 그러지 마세요.
75|음..., 괜찮아요?
76|제가 뭘 하길 바라세요? 제 말은, 당신의 제안이 매력적이지만, 이 살인을 해결하는 것이 훨씬 더 흥미진진하다는 거예요.
77|당신이 뭘 할 수 있죠, 당신은 치유사인가요? 제 말은, 당신의 제안이 매력적이지만, 이 살인을 해결하는 것이 훨씬 더 흥미진진하다는 거예요.
78|오 이런. 당신이 지금까지 나를 대했던 것처럼 그녀를 대했다면, 음, 그녀가 위협을 느끼거나 당신을 내버려두게 하려고 당신이 듣고 싶은 말을 하지는 않았기를 바라.
79|알았어, 사과는 받아들일게. 그녀를 믿어?
80|그것은 적절한 관찰이야! 지금 이 시점에서 제자리에 있지 않은 모든 것들은 아무리 사소해 보여도 중요한 단서가 될 수 있어.
81|우리는 이 집의 냉난방 시스템에서 무엇이 잘못되었는지 알아내기 위해 조사를 계속해야 해. 하지만 당신 말이 맞아: 정말 덥네. 내 옷 속에서 가슴에 땀이 나기 시작했어... 웁스. 너무 많은 정보였네.
82|와우, 알았어... 이건 분명 내가 생각했던 게 아니야. 나에게 데이트 신청을 하거나 먼저 이 살인 미스터리를 푸는 걸 도와줘. 하지만 좀 더 가벼운 옷으로 갈아입는 게 좋은 생각인 것 같아... 마침 딱 맞는 옷이 있거든! 갈아입고 올게. 끝나는 대로 당신을 찾을 테니, 상황을 더 살펴볼 수 있을 거야.
83|정확히 내가 생각했던 건 아니야. 적어도 지금은 아니야. 먼저 이 살인 미스터리를 푸는 걸 도와줘.
84|음... 좀 더 가벼운 옷으로 갈아입는 게 좋은 생각인 것 같아... 마침 딱 맞는 옷이 있거든!
85|이봐. 너도 한 겹 벗을 수 있을 텐데. 같이 갈아입으러 갈 수도 있고... 아니야?
86|좀 더 가벼운 옷으로 갈아입는 게 좋은 생각이야. 마침 딱 맞는 옷이 있거든. 갈아입고 올게. 끝나는 대로 당신을 찾을 테니, 상황을 더 살펴볼 수 있을 거야.
87|사탕, 아이스크림. 내 말은, 집중해! 우리 집중하자. 결국... 살인이 일어났잖아. 우리는 서로에 대한 명백한 감정을 버리고, 냉정하고 단단한 논리를 통해 이 살인 미스터리를 해결함으로써 평범함을 극복할 거야. 그리고 나서는? 당신의 뇌를 너무 세게, 여러 번, 여러 자세로 부숴버릴 거야. 그러니 본론으로 돌아가자, 파트너.
88|전부 말해줘!
89|이건 사소한 단서가 아니야! 심지어 지금까지 우리가 가진 최고의 단서일 수도 있어! 우리가 조사를 위해 뭔가를 부수기 전에 Madison과 Ashley에게 알려야 해. 어쨌든, 거기서 만나자.
90|봐봐... 당신과 나? 우리는 점점 주파수가 맞아가는 것 같아. 거의 다 왔어. 노력에 감사해. 꽤 귀엽네.
91|하지만 질문에 답하자면: 그래. 이용 가능한 증거를 면밀히 조사한 결과, 나는 누군가 칼을 에어컨 블록에 박아 넣어 팬 블레이드가 회전하여 공기를 불어넣는 것을 막았다는 초보적인 결론에 도달했어. 그래서 안이 너무 더워졌어, 심지어 섹스하기에도 말이야. 아직 이해하지 못한 건 왜 그랬냐는 거야... 당신이 칼을 뽑을 수 있을 거라고 생각해.
92|셰익스피어였을까, 셜록이었을까 아니면 그냥 헛소리였을까? 하지만 노력은 높이 평가해.
93|그게 박혀 있는 것 같아. 잘 빼려면 힘 좀 줘야 할까?
94|우리는 속았어. 나에게도 확실히 가짜 피처럼 보여.
95|들어봐: 몸 전체에 가짜 피를 정기적으로 바르고, 그 안에서 씨름하고, 장식으로 여기저기 뿌리고... 그러면 결국 구별할 수 있게 돼. 사실, 내 트렁크에 있는 것과 같은 혼합물이라고 거의 확신해. 정확히 같은 걸쭉한 점성이고, 덩어리들의 크기와 질감이 비슷해.
96|좋은 추리야, 고마워. 왜냐고? 아주 간단해... 내 말은, 누군가 시체를 이 에어컨 블록에 쑤셔 넣었다고 믿게 만들려고 하는 거야. 하지만 나는 그게 잘못된 단서라고 의심해. 누군가 또는 무언가가 환기구를 사용하고 있어. 그게 우리가 따라야 할 다음 단서야. 그리고 이미 다른 단서가 있는 것 같아. 자, 이거 받아.
97|고마워, 파트너. 봐봐, 모든 자정의 기사들에게, 모든 살인 미스터리에, 베리타스-아에키타스 반응이 있어, 엉덩이를 흔들어, 카르마는 나쁜 년이고 그녀의 이름은 Liz-Katz이야!
98|음, 범인이 환기구 안에 있다는 걸 알았어. 그를 거기서 끄집어낼 방법을 찾아야 해.
99|훌륭한 질문이야! 냄새 때문에 아무 데나 두면 안 될 거야. 묻어야 할까? 태워야 할까? 우리의 적들이 우리를 두려워하도록 기둥에 매달아 놓을까? Ned Stark가 그리워...
100|내가 아는 건, 미스터리 파티 주문 양식이 Instagasm 계정을 통해 작성되었고, 내가 그 계정을 통해 초대를 받았다는 거야. 그게 누구인지는 전혀 모르겠지만, Instagasm 계정 이름은... 두구두구두구... @fapsicle4u! 이상한 이름이지, 그렇지? 아무튼, 이미 살펴보려고 했는데, 그 계정은 비공개야. 그러니, 당신이 좋은 해커를 알지 못하는 한, 나를 초대한 사람에 대해 더 알아낼 방법은 모르겠어.
101|당신의 낙관주의가 마음에 드네요. 제 초대에 대해 뭔가 알아내면 알려주세요.
102|오, 말해줘요. 벌써 젖어들고 있어요.
103|"Patrick"이라니... 참수당해 죽은 Patrick 말하는 거야?
104|어때, Scooby-Doo? 오, 그래. 정말 흥분돼!
105|뭐라고? 아니. 웩. 우리는 방금 다른 단서를 풀었고, 미스터리를 푸는 데 더 가까워졌어. 그 어떤 것도 나를 더 흥분시킬 수 없어. 난 그냥 이 수수께끼를 풀어야 해, 알겠지!
106|우리는 방금 다른 단서를 풀었고, 미스터리를 푸는 데 더 가까워졌어. 그 어떤 것도 나를 더 흥분시킬 수 없어. 난 그냥 이 수수께끼를 풀어야 해, 알겠지!
107|알았어, 소름 돋았어. 아직 좀 어지럽고, 약간 메스껍고, 약간 흥분돼.
108|그렇지? 이 의상 정말 대단해. 그리고 꽉 조여. 그런데 우리가 어디에 있는 거지?
109|기술의 발전 덕분에, 나는 Lara Croft처럼 삼각형 가슴이 아니야. 그리고... 오, 침대가 있네! 왜냐하면 그게 침대가 있어야 할 곳이니까.
110|음... 우리는 단서를 찾으러 온 거지, Tron 포르노를 리메이크하러 온 게 아니야.
111|정말? 먼저 현장을 조사하자, 내 열정적인 파트너. 그리고 나서, 우리가 가상 현실의 한계를 얼마나 밀어붙일 수 있는지 보자.
112|그 아이디어는 시도해 볼 가치가 있어 보이지만, 먼저 여기서 무엇을 발견할 수 있는지 보자.
113|오 봐봐: 진흙탕 속의 좆. 그래, 분위기를 깨는 사람.
114|그가 맞는 말을 하네: 무례할 필요 없어.
115|와우... 알았어, Dark Apathy.
116|사려 깊었어. 동의해!
117|무슨 말을 하려는 거야?
118|정말 역겨워.
119|아니, 아니, 아니, 아니. 이미 시도해 봤어. 나 없이 해.
120|당신은 성자의 인내심을 가졌어. 환생한 내 Andy Dufresne이네.
121|우리는 별로 진전이 없어...
122|그리고 이게 우리 수수께끼와 어떤 관련이 있는지 궁금하다고?
123|나는 젠장 관련이 있다고 말할 거야, 그래. 비록 그 자체로는 충분하지 않지만, 범죄 현장에서는 우연이 행운이나 단순한 운명의 지표가 아니야. 그것은 인과성이지. 정의가 말하는 거야.
124|알아... 여기가 점점 더워지는 건가, 아니면 범죄와 싸우느라 땀을 흘리는 건가? 그리고 심장이 미친 듯이 뛰고 있어!
125|뭘 인쇄하려고?
126|다음 커피와 도넛은 내가 살게. 우리가 사건 파일을 만들기 시작하고 있어, 파트너!
127|그냥 해결되지 않은 답답함과 그걸 풀 침대 한 덩어리. 어때? 나는 침대 테스트 과정을 완벽하게 머릿속에 가지고 있어.
128|네, 당신 말이 맞을 거예요. 집중해요. 먼저 이 살인 사건을 해결해야 해요. 그리고 나서, 당신이 제가 쌓인 모든 좌절감을 풀도록 도와줄 수 있을 거예요... 제 말 아시죠.
129|좋은 질문이야. 우리가 아는 것을 정리해보자.
130|맞아. 따라서, 우리는 살인자가 단서를 남기고 있다는 것을 추정할 수 있어. 왜냐하면 그가 우리가 그의 동기를 발견하기를 원하기 때문이야. 그가 우리에게 알리고 싶은 무언가가 있을 거야.
131|어쩌면. 아니면 적어도... 그가 우리가 그렇게 생각하기를 바라는 것일 뿐이야. 시체가 없는 상황에서, 나는 그 피의 홍수가 내 트렁크에서 사라진 가짜 피 주머니로 만들어졌다고 추론해, 정전 때 말이야.
132|가능성 있어. 하지만 그가 정말 도망쳤을까? 아니면 우리의 모든 움직임을 감시하기 위해 아직 근처에 있을까? 살인자는 경찰에 신고하지 말라는 메시지를 남겼어. 우리는 그가 아직 집에 있거나 우리를 감시할 수 있는 수단이 있다고 가정해야 해.
133|전혀 아니야, 파트너: 살인자는 Patrick의 계정을 사용하여 잘못된 단서를 만들었을 수도 있어. 그리고 이건 은폐가 아닐 수도 있어. 또 다른 논리적인 설명은 살인이 사실, 진짜가 아니고, 소위 살인자가 Patrick의 죽음을 위장하기 위해 내 소품에 접근하고 싶어했다는 거야. 하지만 그럴 경우, 왜?
134|정말 그래요, 내 사랑하는 조수. 하지만 Patrick이 직접 메시지를 녹음했다는 점을 감안하면, Patrick이 스스로 죽음을 위장했을 수도 있다는 생각이 들어요.
135|게다가, 두 번째 쪽지를 발견한 것은 살인자가 발견되기를 원하거나, 적어도 우리가 그의 동기를 알기를 원한다는 나의 이론을 강화할 뿐이야.
136|우리는 분명 답을 가지고 있지만, 그 답들은 우리가 추정되는 살인자를 찾아내기 전에 답해야 할 또 다른 질문들을 제기할 뿐이야.
137|묻지 않아도 돼. 첫 번째이자 가장 큰 잠재적 단서는 Patrick의 잘린 머리 안에 있었어: 그의 입에 끼어 있던 쪽지. 우리는 그 쪽지를 회수하기 위해 그 머리를 해동할 방법을 찾아야 해.
138|처음에는 나 자신과 이 파티의 흥분 때문인 줄 알았는데, 사실 정전 이후로 점점 더 더워지는 것 같아. 살인 사건을 다루는 형사의 첫 번째 교훈: 뇌물을 받지 않는 한 범죄 현장에서 우연히 일어나는 일은 없다고 봐야 해. 그리고 난 불행히도 뇌물을 받지 못했어. 그러니 당신이 받지 않았다면, 기후 변화 해결을 우리의 할 일 목록에 추가할 수 있는지 보자.
139|정전 중에 당신을 공격한 사람이 어떻게 도망쳤는지 아직 모르고 있어. 그의 모든 움직임을 이해하는 것이 중요해. 다시 말해, 살인자가 선제 공격에서 20을 얻었다 해도, 우리는 여전히 그의 다음 움직임을 파악해야 해.
140|나를 실제로 누가 초대했는지 아직 모르고 있어. 이건 사소한 세부사항이 아니야, 파트너!
141|우리가 용의자가 무엇을 원하는지, 그가 어떻게 움직이는지에 대해 잘 알고 있지만, 미스터리는 여전히 모호해: 우리는 여전히 그의 동기를 이해하지 못하고 있어. 우리는 그의 이유를 알아야 해. Patrick이 어떤 식으로든 연루되어 있다고 합리적으로 추정할 수 있어. Patrick에게 속한 무언가가 분명히 여기 있을 것이고, 우리가 그걸 조사해서 비밀을 밝혀낼 수 있을 거야. 동기, 내 파트너, 그것이 이 전쟁의 핵심이야.
142|당신 말이 맞을 수도 있어요. 당신 말이 맞았으면 좋겠어요. 다행히 제가 케겔 운동을 해서 다행이네요: 긴장이 거의 참을 수 없을 정도예요.
143|자, 당신의 논리가 완전히 실패했어. 그 잘린 머리 안에 쪽지가 없었나? 우리가 그걸 해동해서 쪽지를 얻었잖아, 그렇지 않아? 그게 살인자가 그의 동기를 우리가 알아내기를 원한다는 걸 알려주지 않아? 아직도 아무것도 떠오르지 않아? 아무튼, 초보적인 실수야. 계속해.
144|오 그래. 나한테 나쁘게 말해줘.
145|음... 당신이 당신의 해결책으로 나를 채워줄 때가 좋아. 계속 그렇게 해줘. 내 말은... 계속 해.
146|오 그래. 밤새 이걸 기다렸어. 다리가 후들거려. 당신이 필요해. 이 미스터리를 푸는 걸 도와줘. 제발, 자기야.
147|오 세상에. 계속 그렇게 해줘. 당신이 이 수수께끼를 해결할 지점에 얼마나 가까워졌는지 느낄 수 있어. 당신을 내 안에서 느낄 수 있어. 내 머릿속에, 구체적인 사실들과 함께. 우리가 해낼 거지, 그렇지? 오 세상에, 지금 멈추지 마. 거의 다 왔어...
148|오. 당신은 내가 결코 필요하다고 생각하지 못했던 내 Meche의 Manny야. 자기야, 어떻게 이런 일이 우리에게 일어났을까? 이렇게 미친 밤에... 파티에 끼어들 거라고 예상하지 못했어... 당신 같은 사람을 만날 거라고도... 내 안에 살아있는 무언가를 느낄 거라고도. 이 이야기가 어떻게 끝날지 모르겠고, 여기 영원히 머물 수도 없어. 심지어 새벽까지 우리가 살아있을지도 모르겠어. 하지만 오늘 밤 이 모든 술과 광기와 피 튀기는 혼돈 속에서 내가 배운 한 가지가 있다면... 내가 아는 한 가지는... 우리가 이 미스터리를 해결하고 살아남는다면... 당신의 마지막 뇌세포를 박살내버릴 거야!
149|이 터무니없는 결론은 일관된 논리의 어떤 흔적도 포함하고 있지 않으며, 이용 가능한 증거에 전혀 주의를 기울이지 않아. 단지 듣기만 했을 뿐인데 이제 더 멍청해졌어. 다른 할 말 있어?
150|뭐라고?
151|죄송합니다?
152|젠장. 버그 걸렸네. 누가 망치 있어? 고쳐야 해! 아니면 다른 거 있어?
153|알았어, Larry LeRieur. 거기에 진실이 있을 수도 있지만, 살인에 대한 아무것도 설명하지 못해. 제발 다른 거 있다고 말해줘.
154|뭐라고?
155|응, 정말 섹시해... 그리고 감정은 상호적이야, 자기야. 하지만 내 말은: 우리가 어떻게 진실을 재구성할 것인지 계속 말해줘.
156|달콤하고 약간 화끈하네, 하지만 내 말은: 우리가 어떻게 진실을 재구성할 것인지 계속 말해줘.
157|오, 음... 그래. 하지만 내 말은: 우리가 어떻게 진실을 재구성할 것인지 계속 말해줘. 그러면 우리가 같은 생각을 할 수도 있을 거야.
158|분위기 망치지 마. 섹시한 탐정 역할에 충실해.
159|와우. 진심으로 와우. 미안, 너무 강렬해지고 있어. 하지만, 이게 지금 저 개자식... 아니면 저 년을 잡을 수 있는 가장 중요한 단서일 거야.
