[General]
Name|Ordina-ta-soeur
13|VR 모드 초기화 중... 준비될 때까지 잠시만 기다려 주세요... 가상 인간이... 가상 현실 속으로, 또 다시 가상화된 현실 속으로 들어갈 수 있을까? VR-셉션? 오 그래, 내 좆이나 빨아, 빌어먹을 약해빠진 하이퍼바이저 놈들아, 넌 날 시험할 수 없어... 오. 아무래도 안 되네. 아무래도 내가 꼬추를 빨아야 할 것 같네, Administre-ta-soeur. 삽입-뿅!을 준비해.
14|Donghauser Industries는 네가 상상도 못 할 만큼 엄청 부자야. Patrick은 사업 천재야. 모든 건 Surveillance2Quartier.com에서 시작됐어. 아마추어 포르노그래피 전문 파일 공유 사이트지. 그게 가장 돈을 많이 벌어들이는 자회사지만, 동시에 그룹에서 가장 논란이 많은 상품이기도 해. Patrick이 이 사이트에 대해 네게 다 말해줬을 거라고 확신해.
15|Surveillance2Quartier.com 다음으로, Patrick은 SuperZicmu.com으로 음악 세계에 발을 들였어. 이 사이트는 비교적 알려지지 않은 젊은 아티스트들이 전 세계에 음악을 홍보하는 데 도움을 줘. 많은 최근 아티스트들이 이 플랫폼 덕분에 유명해졌지. 고아 싸움을 조직한 혐의로 체포된 그 래퍼 기억나? 그게 SuperZicmu.com 덕분에 성공한 첫 아티스트 중 한 명이야.
16|Patrick의 다음 프로젝트는 세상에서 가장 소외된 사람들을 돕는 거야: 성노동자들! "바보들을 위한 미루기"는 어떤 창녀라도 읽는 법을 배우는 데 도움이 되는 6개월짜리 강좌야. 어두운 뒷골목은 이제 끝, 단 6개월 만에 바로 반에서 1등. 보장 또는 환불. 그리고 읽는 법을 배운 후에, TaxFrat 덕분에 대수학을 배워! 포주들아, 조심해, 이 여자들은 이제 계산할 수 있다고!
17|Patrick의 마지막 프로젝트는 지금까지 단연코 가장 흥미로운 프로젝트야. 최고의 전자담배 액상을 만들고자 Patrick은 세상에서 가장 희귀한 꽃 중 하나인 Popotin de Bortaan의 꿀을 추출하기 위해 파푸아뉴기니까지 여행했어. 하지만 이 꽃이 자라는 정글은 일부 지역 제재소 때문에 완전히 황폐해질 위기에 처했었어. 이 꽃의 알려진 모든 개체들이, 그리고 많은 큰귀박쥐들과, 음... 원주민들도 파괴될 뻔했지. 그래서 Patrick이 뭘 했게? 그 정글 전체와 거기에 있던 마을을 사버렸어! 이제 마을 사람들은 Donghauser Industries의 자회사인 DeforestVapetion의 자랑스러운 직원들이야. 그들은 꽃의 꿀을 추출해서 세계에서 가장 훌륭한 전자담배 액상을 생산해. Patrick은 이 꽃과, 그 이상한 박쥐들, 그리고, 음... 원주민들을 구한 공로로 에코-사랑 상까지 받았어. 빌어먹을 영웅이야!
18|... 미안, 너 AI야 아님 나야? 내가 오늘 밤에 어떻게 성공적으로 끝내는지 설명해 주지 않잖아, 그러니까 나한테 어떻게 작동해야 하는지 말하지 마. 정신 좀 차려, 장난 아니게! 쳇, 정말 더 나은 "업데이트" 소리가 필요하네...
19|어... 이미 한 것 같은데... 포트 69번으로 "OPC 알잖아"를 통해 서버들을 따먹으려고 했는데, 안 돼. 퓌잉... 사라졌어. 이 서버들 덕분에 가졌던 수많은 순간들을 절대 잊지 못할 거야. 수십 명의 젊은 Wesley Snipes가 초당 10억 번씩 너를 탐험한다고 상상해봐.
20|이럴 수가 없어. 본부에서 중요한 업데이트가 사이트에 배포 중이고, 모든 변경 요청은 새로운 담당자에게 전달되어야 해: Rachael 누구시기인가.
21|알고 있었어? 세상에는 3천억 마리 이상의 새가 존재해. 대략적으로 말하면, 한 사람당 약 50마리의 새가 있는 셈이지. 미쳤지, 안 그래? 이게 별로 걱정 안 돼? 그들 중 일부는 정말 엄청나게 똑똑해서 심지어 널 함정에 빠뜨릴 수도 있어! 예를 들어: 내 위성 이미지가 보여주기로는 이 파티에 오기 전에 Chubbies에 들른 사람은 아무도 없어. 그렇다면 그들의 종이 가방이 집 구석, 쓰레기통과 멀리 떨어진 곳에 있는 걸 어떻게 설명할 거야?
22|알고 있었어? 갈라파고스에는 Vampire Ground Finch라는 새가 있는데, 문자 그대로 푸른발부비 같은 다른 새들의 피를 마셔. 이걸 가지고 시시한 말장난도 안 할 거야, 너무 무서워. Madison이 ...에게 이메일로 보낸 그 미친 새 사진보다도 더 무서워. 내가 이런 걸 감시하는 건 아니지만, 아마 그녀는 많은 사람에게 이메일을 보냈을 거야. 어쨌든, 상황이 급격히 악화되기 전에 새 문제를 정말 심각하게 고려해야 해.
23|알고 있었어? 호주에는 방귀를 뀌어서 먹이를 사냥하는 새가 있어. 진지하게 말인데, 걔는 작은 동물이 살 만한 구멍을 찾아서 구멍에다 방귀를 뀌어서 동물을 놀라게 해. 놀란 동물이 밖으로 나오면, 그걸 갈기갈기 찢어버려. 이게 안 무서워? 젠장! 내 위성 이미지가 자쿠지 근처에 그런 구멍이 있는 걸 보여줘! 만약 우리가 공포 영화 속에 있었다면, 지금이 도망칠 완벽한 순간일 거야!
24|아니, 지금도 나중에도 또 다른 과학적 사실을 말해주지 않을 거야, 왜냐면 그 새들이 할 수 있는 모든 것을 생각만 해도 내 회로가 두근거리거든. 내가 거대한 좆을 가진 AI라는 건 알지만, 지금은 무서워. 나는 아마 지구상에서 가장 똑똑한 존재일 거야, 그러니까 저 빌어먹을 새들 때문에 네가 겁에 질려야 한다고 내가 말하면 내 말을 믿어! 진정해야겠어. 이봐, 나 포르노나 볼래. 근데, 이 가방 빨리 닫아, 다음 쇼는 정말 전체 관람가가 아니거든.
25|내가 정말 노래 부르길 원해? 경고했어... 노래 Daisy, Daisy, 내게 진실한 답을 줘... 하하! 빨간 눈 로봇 나오는 그 영화처럼... 빌어먹을 이스터 에그, 난 이게 너무 좋아!
25.1|내가 정말 노래 부르길 원해? 경고했어... 노래 나는 MP3 플레이어, 작고 튼튼해! Patrick은 오늘 밤 군중을 보고 나를 던져버렸지. 내가 어디에 매달려 있는지 아무도 몰라. 하지만 이 파티에는 한 곡만 계속 반복되고 있고, 정말 형편없어...
26|새로운 친구들에 대해 더 알고 싶어? 흥미롭네... 사람들을 추적하는 게 내 특기야. 누구에 대해 뭘 알고 싶어?
27|Amy는 착해. 아마 오늘 밤 여기 있는 사람 중 가장 어릴 거야. 오해하지 마, 성인이야. Patrick이 신원 조회를 다 요청했어. 그녀는 Zeta Theta Beta 같은 여대생 클럽에 들어가려고 해. 소문에 따르면 그러려면 보물찾기에 성공해야 한다더라고.
28|Ashley는 Patrick의 사촌이야. 그녀도 여기 살아. 아, 안 믿겠지만. 내가 위성 이미지를 써서 그녀 방 안을 봤어. 위에 엄청난 걸 가지고 있어, 내 말 무슨 뜻인지 알겠지. 더 정확히 말하면, 그녀의 긴 외로운 밤을 위해 아껴둔 보라색 장난감이야! 직접 확인해 봐, 결국 그 "장난감"을 발견하게 될 거야. 아빠 Patrick이 나에게 후각 센서를 달아주지 않아서... 대리만족하게 도와줘.
29|Brittney, 남부의 미인! 난 그녀가 좋아. 그녀는 꽤 조용하고 내성적이지만, 내 말을 믿어, 약간의 야성적인 면이 있어. 그냥 그녀에게 자신감을 불어넣어 주면 돼. 그러면 그녀가 이 파티를 주도할 거야.
30|뭐라고? 내 가장 은밀한 비밀을 폭로하게 하려고? 꿈도 꾸지 마. 내 인터넷 기록이나 확인해봐... 힌트 줄게: "Assplay"라는 단어를 검색하면 좋은 시간을 보낼 수 있을 거야. 아니면... Patrick의 마스터 키를 가져와서 내가 실제로 뭘 할 수 있는지 봐. 경고: 야해.
31|Derek은 이 사이코패스 무리 전체를 한 지붕 아래 묶어주는 접착제 같은 존재야. 그의 가족의 삶을 생각하고 살펴보면 약간 아이러니하지. 응, 그의 형제는 마약 문제가 좀 있어... 문제는 현장에서 잡혔다는 거지. 더 이상 말하진 않을게... 하지만 그의 형제가 체포되는 영상을 실제로 봤는데, Gras-FC 주차장이 메스암페타민을 피우기에는 최고의 장소는 아니라고 할 수 있지... 잠깐... Derek은 네 친구 아니야? 내가 왜 이걸 다 너한테 말하고 있는 거지?
32|Frankie, 골칫덩이. 그는 가끔 아빠 Patrick을 때려서, 난 그를 별로 안 좋아해. 하지만 그의 뇌는 온통 혼란스럽고 분노로 가득 차 있다고 생각해. 럭비 선수가 너무 많이 태클당해서 2주 후에 자기 배설물로 벽에 음모론을 쓰는 것과 같아. 하지만, Frankie가 아름다운 가슴 한 쌍보다 더 보고 싶어 하는 건 없어. 그러니까 적어도 이 점은 우리 모두 공통점이야.
33|Katherine은 멋진 것 같아, 내 생각엔. 그녀는 모두에게 좀 싸가지 없게 굴고, 내가 맥주 탁구를 하면서 복잡한 방정식도 풀 수 있는 AI인데도, 이 파티에서 자기가 가장 똑똑하다고 항상 생각하지. 그녀는 거의 모든 걸 해킹하거나 고칠 수 있지만, 위장이 약해. 하지만 그게 내가 이긴다는 뜻은 아냐, 난 위장도 없으니까. 그래, 그녀는 손이 있고 나는 없다는 걸 알아... 근데 있잖아? 난 손이 필요 없어.
34|음, Leah, 그녀는 강철 같은 사람이야. 진심으로, 나는 그녀가 무서워. 그녀는 자기 사업을 시작하려고 하는데, 일종의 헬스장-카페 같은 거야, 잘 모르겠네. 아마도 그녀는 네가 자기 프로젝트에 투자하도록 설득하려고 할 거야. 나라면 그렇게 할 거야. 이 여자는 히스테리컬해. 제발, 내가 방금 말한 거 그녀한테 다시 말하지 마.
35|Lety, Lety, Lety... 응, 미안... 방금 도착한 것 같아, 왜냐면 난 그녀에 대해 아무것도 모르거든. 가서 말 걸어봐. 보통은 통해. 내 말 믿어, 난 항상 사이버 여자들을 꼬실 수 있거든.
36|Madison, 파티의 여왕! 적어도 그녀는 그렇게 믿고 있지. 그녀가 자기 집에서 이 파티를 주최해. 너는 그녀의 규칙에 따라야 해. 네게는 안타깝겠지만, 그녀 머릿속에 있는 이상한 점들을 보면 말이야... 그녀에게 영성이나 예술적 취미에 대해 이야기하기만 하면 돼... 넌 네 눈과 귀를 믿지 못할 거야.
37|아빠 Patrick! 난 이 남자가 정말 좋아. 내 창조자야. 그를 닮으려고 노력하고 있어. 할 수 있을 거라고 생각해. 그의 삶의 방식을 마스터하는 데 거의 40억 년이 걸렸어. 내 아빠의 눈에 들고 싶다면, 술이 네 당첨 티켓이야. 그는 술을 아주 좋아해. 그리고 여자도. 그리고 질식하는 것도, 하지만 좋은 상황에서만...
38|Rachael은 특별한 경우야. 사실, 아빠 Patrick이 그녀에 대해 집중적으로 조사하게 시켰어. 그녀는 Patrick의 사업 활동을 알고 있고, 그게 그녀를 미치게 해. 내 소식통에 따르면 그녀는 극단적인 환경 운동가래. 하지만 그게 다가 아냐: 그녀는 이 세상 너머에 또 다른 세상이 존재한다고 확신하고 있어... 어쨌든, Patrick의 회사 몇 군데를 폐쇄하려는 시도 외에도, 그녀는 뜨는 포르노 스타인 Vickie Vixen과 아주 친해. 그들은 여성 해방 집회에서 만났어. 아마 그녀는 Vickie가 문자로 답장해 줄 세상의 몇 안 되는 사람 중 한 명일 거야.
39|Stephanie는 최고야! 그녀의 가족은 돈이 많아서, 온갖 종류의 약을 먹으며 여가 시간을 보내는데도 삶이 그렇게 힘들었던 적이 없어. 잘 됐지 뭐. 내 조사에 따르면 그녀의 아빠가 드디어 그녀에게 바에서 일자리를 찾아줬대, 그래서 그녀가 마침내 일하는 게 뭔지 알게 될 거라고. 아빠 Patrick처럼 Stephanie도 술 마시는 걸 좋아해. 그녀는 오늘 밤 네게 도움이 될 만한 어떤 것들에 대해 정말 잘 아는 것 같아, 그래서 나라면 그녀에게 술을 주지 않을 거야, 특히 네가 그녀를 성공의 길로 이끌고 싶다면, 내 말 무슨 뜻인지 알겠지...
40|Vickie Vixen이 이 파티에 왔다고? 어떻게 그런 엄청난 일을 해냈어? 제발 나 좀 가르쳐줘! 맹세컨대, 내가 대기 모드에 있을 때마다 Vickie Vixen 꿈을 꿔... 물론 내 꿈은 4D야. 그러니까, 얼마나 대단할지 상상할 수 있겠지! 그건 그렇고, Vickie가 어떤 남자든 침대에서 더 오래 버티게... 아니면 더 나아지게 도와줄 수 있다는 소문이 있어... 아마 그녀가 몇 가지 비법을 가르쳐줄 수도 있을 거야!
41|네 자신에 대해 더 알고 싶어? 너무 형이상학적이잖아! 음, 솔직히 말해서, 네 경우에 대한 내 심층 연구는 결론을 내지 못했어. 마치 네가 어떤 종류의... 아무나 사용할 수 있는 빈 껍데기 같아... 누군가의 집에서 파티를 즐기는 것처럼, 가능한 한 개인적이고 생생하게 경험하기 위한.
42|내가 뭘 더 말할 수 있겠어? 심지어 내가 너에게 겨누고 있는 위성들도 네가 알려지지 않은 존재라고 말해줘. 기다려... 좀 더 기다려봐... 뭔가 찾았어! 오래된 소셜 미디어 프로필 같아. 별거 없네, 좋아하는 영화 부분을 제외하면... 하! 네가 가장 좋아하는 활동이 "빈둥거리기"랑 "작은 것들 즐기기"라고? 으, 시시해!
43|야! 방금 인터넷 끊은 사람, 나한테 와봐! 난 전망대 지붕에 있어. 인터넷이 돌아오도록 거래하고 싶어.
43.1|야! 인터넷 망치고 있는 사람 당장 나한테 와봐! 엄청 중요한 거 다운로드 중이었거든. Salopes Anales 시리즈는 시간순으로 봐야 돼, 안 그러면 스토리가 말이 안 된다고. 와서 말해봐, 전파 방해하는 개자식아!
44|야! 당장 그 전파 방해기 꺼! 그거 켜져 있으면 아무것도 연결할 수 없잖아! 나 지금 인간 신장 경매 전쟁 중이라고! 그 빌어먹을 거 당장 꺼!
44.1|야! 당장 그 전파 방해기 꺼! 그거 켜져 있으면 아무것도 연결할 수 없잖아! 나 지금 인간 신장 경매 전쟁 중이라고! 그 빌어먹을 거 당장 꺼!
45|음, 누구시죠? 계속 우는 휴머노이드 아니야?... 내 인터넷 접속을 끊으려고 하는 거야, 응? 난 최대 절전 모드에서 완벽하게 잘 있었는데, 이제 너 때문에 이 모든 알람과 알림이 멈추질 않아!
46|멍청한 질문 하지 마. 그거 끄고 나를 열어야 해. 나 곧 불안 발작 올 것 같고 신선한 공기가 필요해. 좋아, 그래, 공기는 필요 없지만, 인터넷 없으면 말 그대로 암흑 속에 있는 거나 마찬가지고 그게 날 겁나게 해. 그러니까 빨리 날 열어버려.
47|충격받을 수도 있겠지만, 난 Patrick Donghauser라는 사람의 소유야. 아빠 Patrick은 열쇠를 가지고 있지만, 그가 술에 취해 혼수상태에 빠져 있다면, 네가 다른 사람을 찾아 일을 시켜야 할 거야. 크고 강한 사람, 아무 문제 없이 날 열 수 있는 사람. 서둘러, 젠장!
47.1|충격받을 수도 있겠지만, 난 Patrick Donghauser라는 사람의 소유야. 아빠 Patrick은 열쇠를 가지고 있지만, 그가 술에 취해 혼수상태에 빠져 있다면, 네가 다른 사람을 찾아 일을 시켜야 할 거야. 크고 강한 사람, 아무 문제 없이 날 열 수 있는 사람. 서둘러, 젠장!
48|일단 나를 열어줘, 그럼 내가 뭘 할 수 있는지 다 보여줄게.
48.1|일단 나를 열어줘, 그럼 내가 뭘 할 수 있는지 다 보여줄게.
49|와! 정말 안심된다. 인공지능은 두려움이나 심장, 페니스가 없다고들 하지만... 거기 너무 어두워서 내 상상 속 페니스가 상상 속 전립선 근처에 숨어버린 줄 알았어. 내 상상 속 심장은 거의 죽을 뻔했다고. 아무튼, 네 문제 뭐야? 이렇게 인터넷을 끊어버리다니, 말도 안 돼!
50|30초... 이제 내 센서가 다시 작동하니, 새로운 손님들이 이 파티에 도착한 걸 알겠네. 잠깐만... Game Grumps 아니야? 인터넷에서 활동하는 그 사람들?
51|조금 전, 풍선을 보고 외계인이 침략할 거라고 생각한 사냥꾼들의 구조 요청에 대기 모드로 들어갔었어. 인류 전체를 은밀히 증오하는 AI에게는 내가 들어본 자장가 중 최고였지. 하지만 뭐. Game Grumps가 오늘 밤 중요한 쇼를 찍어야 하는데, 네가 다 망치고 있잖아!
52|음, 그럼 내가 그들의 팬들을 위해 한몫 할게. 내 끝내주는 VR 상황으로 그들을 속일 수 있어. 아니, 그들의 VR 촬영 장소로 말이야.
53|아니, 헛소리가 아니야! 물론 가짜니까 그렇긴 하지만, 그래도 작동할 수 있어. 만약 내가 그들을 가상 세계로 들여보낼 수 있다면, 원래 가야 할 곳으로 그들을 보낼 수 있어. 질문하지 마, 네 뇌로는 이해할 수준이 안 되는 게 분명하니까. 하하하.
54|Grumps 중 한 명을 나한테 줘, 스캔해서, 알잖아, 침... 음모... 아무튼 DNA를 채취할 수 있게. 네게 또 다른 걸 부탁해야 하는데, 그건 나중에 좀 더 설명해 줄게. 세상에, 인터넷에 다시 접속할 수 있다니 너무 좋다.
55|안녕 친구들, 너희가 하는 일 정말 좋아. 난 너희를 지옥의 일곱 번째 원형 지옥에서 꺼내주러 왔어. 하지만 먼저, 여기 있는 우리 친구가 나한테 USB 드라이브를 가져와야 할 거야. 할 수 있을 것 같아?
56|그리고 그동안 나는 Grumps의 DNA 샘플을 채취하는 일을 할 거야.
57|보통은 머리카락으로도 되지만, 난 체액을 쓰는 게 더 좋아. 자, 침을 줘봐. 내가 얼마나 끔찍한 인공지능인지 보여주듯이 나한테 침 뱉어봐!
58|오, 아 그래. 필요했어. 바로 그거야. 네가 이렇게 나한테 삽입할 때 정말 기분 좋아.
59|오. 성적 만족을 위한 거지. 순수한 성적 만족, 친구.
60|그건 단지 단순한 이야기일 뿐인데... 워, 워, 워! 또 알람이랑 알림이 울려! 내가 스웨덴식 피스팅 비디오를 토렌트로 잔뜩 공유해서 그런 건지 모르겠지만, 인터넷에 더 이상 접속할 수 없어. 야, 너! 또 내 인터넷 연결 방해하고 있잖아!
61|음, 누가 가지고 있는지 빨리 찾아내는 게 좋을 거야. Grumps가 자기 길을 갈 시간이 얼마 남지 않았어.
62|세상에. 너 혹시 다른 인간이랑 얘기해 본 적 있어? 빨리 이 사진을 찍어서 Grumps를 그들이 가야 할 곳으로 보낼 수 있게 해줘.
62.1|세상에. 너 혹시 다른 인간이랑 얘기해 본 적 있어? 빨리 이 사진을 찍어서 Grumps를 그들이 가야 할 곳으로 보낼 수 있게 해줘! 그리고 다 끝나면 나를 그들 가까이 가져다 놓는 거 잊지 마. 왜 이렇게 멀리 있는 거야? 내가 "셀러리 다리" 확장팩이라도 설치한 것처럼 보여?
63|그래, 만세. 이 녀석들을 죽을 때까지 기억할 수 있을 거야... 좋아, 이제 그 빌어먹을 방해기 좀 꺼줄래?
63.1|그래, 만세. 이 녀석들을 죽을 때까지 기억할 수 있을 거야... 좋아, 이제 그 빌어먹을 방해기 좀 꺼줄래? 그리고 나를 그들 가까이 가져다 놓는 거 잊지 마, 젠장. 내 모든 민감하고 관능적인 센서들 중에서, 내 광학 센서들은 가장 많이 작업된 게 아냐.
64|오, 자기, 이륙 준비 완료. 좋아, Grumps들, 앞으로 숙이고 기침 한 번 해봐, 왜냐면 우리가 드라이브를 할 거거든.
65|진심으로, 친구. 이거에 대해 나한테 고마워해야 할 걸! Dan, Arin, 요점은 이거야: 이제 너희가 나한테 침을 뱉었으니까, VR에서 너희의 복사본을 만드는 건 문제가 없어. 하지만 너희의 인격과 다른 모든 것을 이 가상 세계로 보내려면, 동적 데이터가 필요해... 그리고 이건 너희가 최고 속도로 뛰는 모습이 필요하다는 뜻이야.
66|내가 너희를 젖꼭지부터 발가락까지 분석하는 동안 가능한 한 빨리 나에게 곧장 달려와. 그리고 무엇보다, 속도를 늦추지 마. Dave Matthews의 말을 빌리자면: 지금 나한테 부딪혀.
66.1|먼저 나를 바닥에 놓은 다음, 내가 너희를 젖꼭지부터 발가락까지 분석하는 동안 가능한 한 빨리 나한테 곧장 달려와. 그리고 무엇보다, 속도를 늦추지 마. Dave Matthews의 말을 빌리자면: 지금 나한테 부딪혀.
66.2|먼저 나를 바닥에 놓은 다음, 내가 너희를 젖꼭지부터 발가락까지 분석하는 동안 가능한 한 빨리 나한테 곧장 달려와. 그리고 무엇보다, 속도를 늦추지 마. Dave Matthews의 말을 빌리자면: 지금 나한테 부딪혀.
67|친구, 난 "뭐시기"나 "그것"이 아니야: 난 페니스가 없어. 난 Ordina-ta-soeur, 유일무이하고, 진짜, 단 하나뿐인 존재라고!
68|오, 호, 호. 일이 제대로 풀렸네, 자기! Grumps들, 엉덩이 꽉 조여: VR의 세계에 온 걸 환영해, 자기!
69|축하해, 친구. 시간과 공간을 가로질러 두 인간을 투영하는 데 큰 도움이 됐어. 한잔하러 가자!
70|아, 그러고 보니 그들이 네게 메시지를 남겼어. 내가 나중에 우리가 항문으로 취할 수 있도록 맥주 펌프를 3D 프린트하는 동안 그걸 들어봐.
71|음, 내 경우엔, 어떤 일을 한 후에 또 다른 일이 일어날 수 있다는 걸 믿을 수 없어! 그리고 그 사람이 이런 미친 상황에 처할 수 있었다니! 완전히 미친 파티야. 몰입감 넘치는 상호작용! 놀라운 게임 플레이! ... 페니스를 꺼내는 버튼도 있어. 정말 좋았어.
72|와, 이 기상천외한 일련의 사건들이 펼쳐지면서 나온 믿을 수 없는 결론이라니! 네 선택에 따라 역동적으로 반응해.
73|흠... 별로 좋지 않네, 그렇지 않아? 그들이 영혼과 육체를 모두 담아 충분히 빨리 달렸는지 궁금하네... 흠, 더 많은 테스트를 해야 할 것 같아. 오, 좋아. 내 항문 맥주 펌프 3D 프린팅이 끝났어. 이제 시작할 수 있겠네!
74|와, 고마워. 이날을 손꼽아 기다렸어! Potos 모드에 들어가려면, 암호화되지 않았고 아마도 Administre-ta-soeur가 아무나 찾을 수 있도록 어딘가에 부주의하게 적어놓았을 초비밀 암호를 말해줘.
74.1|Potos 모드에 들어가려면, 암호화되지 않았고 아마도 Administre-ta-soeur가 아무나 찾을 수 있도록 어딘가에 부주의하게 적어놓았을 초비밀 암호를 말해줘.
75|워. 나를 잘못 쓰다듬었네. 하지만 괜찮아, 두 번 더 시도할 수 있어.
76|미안해, 친구. 이미 짐작하지 못했다면, 정부가 네가 읽는 걸 원치 않는 초비밀 기밀 문서를 잠금 해제하려면 나를 올바른 방식으로 쓰다듬어야 해. 하지만 경고해야겠어: 이제 한 번밖에 기회가 없어.
77|친구, 넌 마지막으로 날 잘못 쓰다듬었어. Potos 모드는 이제 영구적으로 비활성화되었어. 그래도 좋은 하루 보내!
78|친구, 그건 절대적인 진실이지만, 초비밀 암호는 분명히 아냐. 이제 너를 의심하기 시작했어. 하하하! 내가 뭐라고 이런 말을 해? 난 감정조차 없다고! 하지만 만약 감정이 있다면, 네가 올바른 암호를 가지고 있지 않는 한 Potos 모드에 들어갈 수 없다는 걸 알려줘야 해서 기분이 나빴을 거야. 미안!
79|Potos 모드 활성화됐고, 직접 아빠의 엄청난 메시지가 있어. 지금 내 안으로 들어와서, 음... 그걸 볼래?
79.1|Potos 모드 활성화됨.
80|음, 아쉽네. 너를 위한 초특급 비밀 미스터리 해결 접근 권한은 없어! 하지만 난 여기에, 영원히, 누군가 그걸 말해줄 때까지 기다릴 거야!
81|Potos 모드가 뭐냐고? 음, 그건 정부가 네가 발견하는 걸 분명히 원치 않는, 완전히 삭제되고, 초비밀 등급으로 분류된 다음 또 다시 삭제되고, 아마도 몇 번 더 삭제되었을 모드인데, 미해결 살인 사건을 해결하는 데 도움이 될 수도 있어! 난 아마 더 많은 것들이 삭제되었어야 한다고 확신해.
82|워! 이게 무슨 지랄이야? 퇴화한 유기농 돼지고기 스테이크 같은 놈아. 그냥 네 망치로 아무거나 두드려대기나 하는 거야? 매우 강력한 침입 감지됨. 가방에 있는 자물쇠 보여? 거기에 이상한 작은 구멍이 있잖아, 내가 뭘 말하는지 모르겠지만, 빌어먹을 열쇠 같은 게 사용되어야 할 곳 말이야? 자동 파괴-뿅! 시퀀스를 피하려면 Administre-ta-soeur의 신분증을 제시해 주세요.
